"","Family","Species","New.Genus","New.Species"
"9899","Ranunculaceae","Clematis montana","Clematis","montana"
"9900","Ranunculaceae","Clematis campestris","Clematis","campestris"
"9901","Ranunculaceae","Clematis orientalis","Clematis","orientalis"
"9902","Ranunculaceae","Clematis paniculata","Clematis","paniculata"
"9907","Ranunculaceae","Clematis patens","Clematis","patens"
"9909","Ranunculaceae","Clematis potaninii","Clematis","potaninii"
"9910","Ranunculaceae","Clematis recta","Clematis","recta"
"9912","Ranunculaceae","Clematis stans","Clematis","stans"
"9913","Ranunculaceae","Clematis tangutica","Clematis","tangutica"
"9914","Ranunculaceae","Clematis tashiroi","Clematis","tashiroi"
"9915","Ranunculaceae","Clematis terniflora","Clematis","terniflora"
"9917","Ranunculaceae","Clematis connata","Clematis","connata"
"9918","Ranunculaceae","Clematis vitalba","Clematis","vitalba"
"9929","Ranunculaceae","Clematis viticella","Clematis","viticella"
"9931","Ranunculaceae","Clematis jackmanii","Clematis","jackmanii"
"9934","Ranunculaceae","Clematis lawsoniana","Clematis","lawsoniana"
"9935","Ranunculaceae","Clematis vedrariensis","Clematis","vedrariensis"
"9936","Cleomaceae","Cleome aculeata","Cleome","aculeata"
"9939","Cleomaceae","Cleome rutidosperma","Cleome","rutidosperma"
"9941","Cleomaceae","Cleome gynandra","Cleome","gynandra"
"9945","Cleomaceae","Cleome monophylla","Cleome","monophylla"
"9949","Capparaceae","Cleoserrata speciosa","Cleoserrata","speciosa"
"9950","Cleomaceae","Cleome spinosa","Cleome","spinosa"
"9953","Cleomaceae","Cleome viscosa","Cleome","viscosa"
"9961","Campanulaceae","Clermontia parviflora","Clermontia","parviflora"
"9962","Lamiaceae","Clerodendrum bungei","Clerodendrum","bungei"
"9963","Lamiaceae","Clerodendrum chinense","Clerodendrum","chinense"
"9965","Lamiaceae","Volkameria inermis","Volkameria","inermis"
"9967","Lamiaceae","Clerodendrum infortunatum","Clerodendrum","infortunatum"
"9968","Lamiaceae","Clerodendrum johnstonii","Clerodendrum","johnstonii"
"9970","Lamiaceae","Clerodendrum speciosissimum","Clerodendrum","speciosissimum"
"9971","Lamiaceae","Clerodendrum poggei","Clerodendrum","poggei"
"9972","Lamiaceae","Clerodendrum splendens","Clerodendrum","splendens"
"9974","Lamiaceae","Clerodendrum trichotomum","Clerodendrum","trichotomum"
"9979","Lamiaceae","Rotheca myricoides","Rotheca","myricoides"
"9983","Lamiaceae","Clerodendrum umbellatum","Clerodendrum","umbellatum"
"9985","Clethraceae","Clethra alnifolia","Clethra","alnifolia"
"9987","Clethraceae","Clethra barbinervis","Clethra","barbinervis"
"9989","Pentaphylacaceae","Cleyera japonica","Cleyera","japonica"
"9998","Leguminosae","Swainsona formosa","Swainsona","formosa"
"9999","Leguminosae","Clianthus puniceus","Clianthus","puniceus"
"10000","Melastomataceae","Clidemia hirta","Clidemia","hirta"
"10001","Melastomataceae","Clidemia strigillosa","Clidemia","strigillosa"
"10002","Rosaceae","Cliffortia ferruginea","Cliffortia","ferruginea"
"10003","Rosaceae","Cliffortia nitidula","Cliffortia","nitidula"
"10005","Rosaceae","Cliffortia polygonifolia","Cliffortia","polygonifolia"
"10006","Cyrillaceae","Cliftonia monophylla","Cliftonia","monophylla"
"10007","Leguminosae","Clitoria mariana","Clitoria","mariana"
"10008","Leguminosae","Clitoria ternatea","Clitoria","ternatea"
"10024","Amaryllidaceae","Clivia miniata","Clivia","miniata"
"10031","Clusiaceae","Clusia fluminensis","Clusia","fluminensis"
"10032","Clusiaceae","Clusia grandiflora","Clusia","grandiflora"
"10033","Clusiaceae","Clusia rosea","Clusia","rosea"
"10035","Peraceae","Clutia abyssinica","Clutia","abyssinica"
"10036","Rutaceae","Cneoridium dumosum","Cneoridium","dumosum"
"10039","Euphorbiaceae","Cnidoscolus aconitifolius","Cnidoscolus","aconitifolius"
"10041","Euphorbiaceae","Cnidoscolus urens","Cnidoscolus","urens"
"10044","Euphorbiaceae","Cnidoscolus texanus","Cnidoscolus","texanus"
"10046","Polemoniaceae","Cobaea scandens","Cobaea","scandens"
"10048","Cucurbitaceae","Coccinia grandis","Coccinia","grandis"
"10050","Cucurbitaceae","Coccinia hirtella","Coccinia","hirtella"
"10053","Polygonaceae","Coccoloba latifolia","Coccoloba","latifolia"
"10054","Polygonaceae","Coccoloba uvifera","Coccoloba","uvifera"
"10066","Menispermaceae","Cocculus carolinus","Cocculus","carolinus"
"10070","Menispermaceae","Cocculus hirsutus","Cocculus","hirsutus"
"10072","Menispermaceae","Cocculus laurifolius","Cocculus","laurifolius"
"10075","Menispermaceae","Cocculus orbiculatus","Cocculus","orbiculatus"
"10080","Arecaceae","Cocos nucifera","Cocos","nucifera"
"10173","Euphorbiaceae","Codiaeum variegatum","Codiaeum","variegatum"
"10211","Campanulaceae","Codonopsis lanceolata","Codonopsis","lanceolata"
"10213","Campanulaceae","Codonopsis pilosula","Codonopsis","pilosula"
"10215","Orchidaceae","Coelogyne cristata","Coelogyne","cristata"
"10217","Orchidaceae","Coelogyne flaccida","Coelogyne","flaccida"
"10218","Orchidaceae","Coelogyne pulverula","Coelogyne","pulverula"
"10219","Rubiaceae","Coffea arabica","Coffea","arabica"
"10299","Rubiaceae","Coffea canephora","Coffea","canephora"
"10330","Rubiaceae","Coffea congensis","Coffea","congensis"
"10331","Rubiaceae","Coffea eugenioides","Coffea","eugenioides"
"10332","Rubiaceae","Coffea liberica","Coffea","liberica"
"10336","Rubiaceae","Coffea kivuensis","Coffea","kivuensis"
"10356","Rubiaceae","Coffea macrocarpa","Coffea","macrocarpa"
"10358","Poaceae","Coix lacryma-jobi","Coix","lacryma-jobi"
"10364","Malvaceae","Cola acuminata","Cola","acuminata"
"10368","Malvaceae","Cola cordifolia","Cola","cordifolia"
"10369","Malvaceae","Cola natalensis","Cola","natalensis"
"10371","Malvaceae","Cola nitida","Cola","nitida"
"10373","Malvaceae","Cola millenii","Cola","millenii"
"10374","Colchicaceae","Colchicum agrippinum","Colchicum","agrippinum"
"10375","Colchicaceae","Colchicum autumnale","Colchicum","autumnale"
"10376","Colchicaceae","Colchicum kotschyi","Colchicum","kotschyi"
"10377","Colchicaceae","Colchicum speciosum","Colchicum","speciosum"
"10378","Rutaceae","Coleonema pulchellum","Coleonema","pulchellum"
"10380","Lamiaceae","Plectranthus amboinicus","Plectranthus","amboinicus"
"10381","Lamiaceae","Plectranthus barbatus","Plectranthus","barbatus"
"10384","Lamiaceae","Plectranthus scutellarioides","Plectranthus","scutellarioides"
"10395","Lamiaceae","Coleus forskohlii","Coleus","forskohlii"
"10396","Lamiaceae","Plectranthus rotundifolius","Plectranthus","rotundifolius"
"10399","Lamiaceae","Plectranthus pentheri","Plectranthus","pentheri"
"10409","Rhamnaceae","Colletia spinosissima","Colletia","spinosissima"
"10411","Euphorbiaceae","Colliguaja brasillensis","Colliguaja","brasillensis"
"10412","Euphorbiaceae","Colliguaja odorifera","Colliguaja","odorifera"
"10413","Polemoniaceae","Collomia biflora","Collomia","biflora"
"10414","Polemoniaceae","Collomia grandiflora","Collomia","grandiflora"
"10415","Araceae","Colocasia antiquorum","Colocasia","antiquorum"
"10423","Araceae","Colocasia esculenta","Colocasia","esculenta"
"10468","Araceae","Colocasia gigantea","Colocasia","gigantea"
"10470","Leguminosae","Colophospermum mopane","Colophospermum","mopane"
"10471","Rhamnaceae","Colubrina arborescens","Colubrina","arborescens"
"10473","Rhamnaceae","Colubrina oppositifolia","Colubrina","oppositifolia"
"10474","Gesneriaceae","Columnea microcalyx","Columnea","microcalyx"
"10475","Gesneriaceae","Columnea hirta","Columnea","hirta"
"10477","Gesneriaceae","Columnea microphylla","Columnea","microphylla"
"10479","Gesneriaceae","Columnea schiedeana","Columnea","schiedeana"
"10480","Leguminosae","Colutea arborescens","Colutea","arborescens"
"10481","Leguminosae","Colutea orientalis","Colutea","orientalis"
"10482","Combretaceae","Combretum erythrophyllum","Combretum","erythrophyllum"
"10484","Combretaceae","Combretum indicum","Combretum","indicum"
"10487","Combretaceae","Combretum zeyheri","Combretum","zeyheri"
"10488","Commelinaceae","Commelina aspera","Commelina","aspera"
"10489","Commelinaceae","Commelina benghalensis","Commelina","benghalensis"
"10496","Commelinaceae","Commelina communis","Commelina","communis"
"10499","Commelinaceae","Commelina diffusa","Commelina","diffusa"
"10507","Commelinaceae","Commelina erecta","Commelina","erecta"
"10510","Commelinaceae","Commelina lagosensis","Commelina","lagosensis"
"10511","Commelinaceae","Murdannia nudiflora","Murdannia","nudiflora"
"10512","Commelinaceae","Commelina rhodesica","Commelina","rhodesica"
"10514","Commelinaceae","Commelina livingstonii","Commelina","livingstonii"
"10515","Commelinaceae","Commelina subulata","Commelina","subulata"
"10516","Commelinaceae","Commelina tuberosa","Commelina","tuberosa"
"10517","Malvaceae","Commersonia bartramia","Commersonia","bartramia"
"10518","Nyctaginaceae","Boerhavia tuberosa","Boerhavia","tuberosa"
"10519","Compositae","Commidendrum robustum","Commidendrum","robustum"
"10520","Burseraceae","Commiphora caudata","Commiphora","caudata"
"10521","Burseraceae","Commiphora leptophloeos","Commiphora","leptophloeos"
"10522","Myricaceae","Comptonia peregrina","Comptonia","peregrina"
"10523","Rhamnaceae","Condalia buxifolia","Condalia","buxifolia"
"10524","Rhamnaceae","Condalia hookeri","Condalia","hookeri"
"10525","Lamiaceae","Congea tomentosa","Congea","tomentosa"
"10526","Apiaceae","Conioselinum chinense","Conioselinum","chinense"
"10527","Apiaceae","Conium maculatum","Conium","maculatum"
"10532","Combretaceae","Conocarpus erectus","Conocarpus","erectus"
"10533","Melastomataceae","Conostegia lasiopoda","Conostegia","lasiopoda"
"10534","Ranunculaceae","Consolida ajacis","Consolida","ajacis"
"10542","Ranunculaceae","Consolida orientalis","Consolida","orientalis"
"10546","Asparagaceae","Convallaria majalis","Convallaria","majalis"
"10557","Convolvulaceae","Convolvulus arvensis","Convolvulus","arvensis"
"10590","Convolvulaceae","Convolvulus floridus","Convolvulus","floridus"
"10591","Convolvulaceae","Calystegia pubescens","Calystegia","pubescens"
"10592","Convolvulaceae","Convolvulus korolkowii","Convolvulus","korolkowii"
"10593","Convolvulaceae","Convolvulus lineatus","Convolvulus","lineatus"
"10594","Convolvulaceae","Ipomoea pes-tigridis","Ipomoea","pes-tigridis"
"10595","Convolvulaceae","Convolvulus prostratus","Convolvulus","prostratus"
"10599","Convolvulaceae","Convolvulus tricolor","Convolvulus","tricolor"
"10601","Compositae","Erigeron aegyptiacus","Erigeron","aegyptiacus"
"10603","Compositae","Erigeron bonariensis","Erigeron","bonariensis"
"10609","Compositae","Erigeron canadensis","Erigeron","canadensis"
"10619","Compositae","Conyza japonica","Conyza","japonica"
"10621","Compositae","Blumea viscosa","Blumea","viscosa"
"10622","Compositae","Conyza pinnata","Conyza","pinnata"
"10623","Compositae","Conyza steudelii","Conyza","steudelii"
"10625","Compositae","Erigeron trilobus","Erigeron","trilobus"
"10626","Cactaceae","Copiapoa cinerea","Copiapoa","cinerea"
"10627","Rubiaceae","Coprosma areolata","Coprosma","areolata"
"10628","Rubiaceae","Coprosma foetidissima","Coprosma","foetidissima"
"10629","Rubiaceae","Coprosma grandifolia","Coprosma","grandifolia"
"10631","Rubiaceae","Coprosma lucida","Coprosma","lucida"
"10632","Rubiaceae","Coprosma macrocarpa","Coprosma","macrocarpa"
"10634","Rubiaceae","Coprosma montana","Coprosma","montana"
"10635","Rubiaceae","Coprosma propinqua","Coprosma","propinqua"
"10637","Rubiaceae","Coprosma repens","Coprosma","repens"
"10640","Rubiaceae","Coprosma rhamnoides","Coprosma","rhamnoides"
"10641","Rubiaceae","Coprosma robusta","Coprosma","robusta"
"10643","Rubiaceae","Coprosma rotundifolia","Coprosma","rotundifolia"
"10644","Rubiaceae","Coprosma spathulata","Coprosma","spathulata"
"10645","Malvaceae","Corchorus aestuans","Corchorus","aestuans"
"10647","Malvaceae","Corchorus capsularis","Corchorus","capsularis"
"10665","Malvaceae","Corchorus junodii","Corchorus","junodii"
"10666","Malvaceae","Corchorus olitorius","Corchorus","olitorius"
"10682","Malvaceae","Corchorus siliquosus","Corchorus","siliquosus"
"10683","Malvaceae","Corchorus tridens","Corchorus","tridens"
"10685","Malvaceae","Corchorus trilocularis","Corchorus","trilocularis"
"10688","Boraginaceae","Cordia africana","Cordia","africana"
"10692","Boraginaceae","Cordia alliodora","Cordia","alliodora"
"10696","Boraginaceae","Cordia americana","Cordia","americana"
"10698","Boraginaceae","Cordia dodecandra","Cordia","dodecandra"
"10700","Boraginaceae","Cordia boissieri","Cordia","boissieri"
"10701","Boraginaceae","Cordia curassavica","Cordia","curassavica"
"10705","Boraginaceae","Cordia dichotoma","Cordia","dichotoma"
"10707","Boraginaceae","Cordia gerascanthus","Cordia","gerascanthus"
"10709","Boraginaceae","Cordia goeldiana","Cordia","goeldiana"
"10710","Boraginaceae","Cordia laevigata","Cordia","laevigata"
"10711","Boraginaceae","Cordia lutea","Cordia","lutea"
"10716","Boraginaceae","Cordia myxa","Cordia","myxa"
"10729","Boraginaceae","Cordia nodosa","Cordia","nodosa"
"10733","Boraginaceae","Cordia rupicola","Cordia","rupicola"
"10734","Boraginaceae","Cordia scabrifolia","Cordia","scabrifolia"
"10735","Boraginaceae","Cordia sinensis","Cordia","sinensis"
"10736","Boraginaceae","Cordia subcordata","Cordia","subcordata"
"10739","Asparagaceae","Cordyline australis","Cordyline","australis"
"10746","Asparagaceae","Cordyline banksii","Cordyline","banksii"
"10748","Asparagaceae","Cordyline cannifolia","Cordyline","cannifolia"
"10749","Asparagaceae","Cordyline fruticosa","Cordyline","fruticosa"
"10769","Asparagaceae","Cordyline mauritiana","Cordyline","mauritiana"
"10770","Asparagaceae","Cordyline neocaledonica","Cordyline","neocaledonica"
"10771","Asparagaceae","Cordyline stricta","Cordyline","stricta"
"10778","Compositae","Coreopsis grandiflora","Coreopsis","grandiflora"
"10779","Compositae","Bidens grantii","Bidens","grantii"
"10780","Compositae","Bidens kirkii","Bidens","kirkii"
"10781","Compositae","Coreopsis lanceolata","Coreopsis","lanceolata"
"10785","Compositae","Coreopsis tinctoria","Coreopsis","tinctoria"
"10789","Compositae","Coreopsis verticillata","Coreopsis","verticillata"
"10792","Apiaceae","Coriandrum sativum","Coriandrum","sativum"
"10817","Coriariaceae","Coriaria japonica","Coriaria","japonica"
"10819","Cornaceae","Cornus alba","Cornus","alba"
"10827","Cornaceae","Cornus alternifolia","Cornus","alternifolia"
"10832","Cornaceae","Cornus amomum","Cornus","amomum"
"10835","Cornaceae","Cornus asperifolia","Cornus","asperifolia"
"10837","Cornaceae","Cornus sanguinea","Cornus","sanguinea"
"10838","Cornaceae","Cornus macrophylla","Cornus","macrophylla"
"10839","Cornaceae","Cornus sericea","Cornus","sericea"
"10840","Cornaceae","Cornus canadensis","Cornus","canadensis"
"10841","Cornaceae","Cornus florida","Cornus","florida"
"10842","Cornaceae","Cornus rugosa","Cornus","rugosa"
"10843","Cornaceae","Cornus controversa","Cornus","controversa"
"10882","Cornaceae","Cornus foemina","Cornus","foemina"
"10883","Cornaceae","Cornus glabrata","Cornus","glabrata"
"10884","Cornaceae","Cornus kousa","Cornus","kousa"
"10888","Cornaceae","Cornus mas","Cornus","mas"
"10905","Cornaceae","Cornus nuttallii","Cornus","nuttallii"
"10914","Cornaceae","Cornus officinalis","Cornus","officinalis"
"10917","Cornaceae","Cornus racemosa","Cornus","racemosa"
"10920","Cornaceae","Cornus excelsa","Cornus","excelsa"
"10948","Cornaceae","Cornus sessilis","Cornus","sessilis"
"10956","Argophyllaceae","Corokia virgata","Corokia","virgata"
"10957","Argophyllaceae","Corokia cotoneaster","Corokia","cotoneaster"
"10958","Leguminosae","Hippocrepis emerus","Hippocrepis","emerus"
"10961","Leguminosae","Coronilla juncea","Coronilla","juncea"
"10962","Leguminosae","Coronilla valentina","Coronilla","valentina"
"10965","Leguminosae","Securigera varia","Securigera","varia"
"10971","Brassicaceae","Lepidium didymum","Lepidium","didymum"
"10973","Brassicaceae","Lepidium coronopus","Lepidium","coronopus"
"10975","Molluginaceae","Corrigiola litoralis","Corrigiola","litoralis"
"10976","Poaceae","Cortaderia jubata","Cortaderia","jubata"
"10978","Poaceae","Cortaderia selloana","Cortaderia","selloana"
"10984","Poaceae","Cortaderia toetoe","Cortaderia","toetoe"
"10985","Papaveraceae","Corydalis micrantha","Corydalis","micrantha"
"10986","Hamamelidaceae","Corylopsis gotoana","Corylopsis","gotoana"
"10987","Hamamelidaceae","Corylopsis pauciflora","Corylopsis","pauciflora"
"10988","Hamamelidaceae","Corylopsis sinensis","Corylopsis","sinensis"
"10989","Hamamelidaceae","Corylopsis spicata","Corylopsis","spicata"
"10990","Betulaceae","Corylus americana","Corylus","americana"
"10995","Betulaceae","Corylus avellana","Corylus","avellana"
"11049","Betulaceae","Corylus cornuta","Corylus","cornuta"
"11052","Betulaceae","Corylus colurna","Corylus","colurna"
"11058","Betulaceae","Corylus heterophylla","Corylus","heterophylla"
"11061","Betulaceae","Corylus sieboldiana","Corylus","sieboldiana"
"11062","Betulaceae","Corylus maxima","Corylus","maxima"
"11070","Betulaceae","Corylus ferox","Corylus","ferox"
"11072","Myrtaceae","Corymbia citriodora","Corymbia","citriodora"
"11077","Myrtaceae","Corymbia flavescens","Corymbia","flavescens"
"11078","Myrtaceae","Corymbia maculata","Corymbia","maculata"
"11079","Myrtaceae","Corymbia torelliana","Corymbia","torelliana"
"11080","Myrtaceae","Corymbia trachyphloia","Corymbia","trachyphloia"
"11081","Poaceae","Corynephorus canescens","Corynephorus","canescens"
"11082","Corynocarpaceae","Corynocarpus laevigatus","Corynocarpus","laevigatus"
"11085","Compositae","Cosmos atrosanguineus","Cosmos","atrosanguineus"
"11086","Compositae","Cosmos bipinnatus","Cosmos","bipinnatus"
"11105","Compositae","Cosmos caudatus","Cosmos","caudatus"
"11114","Costaceae","Costus comosus","Costus","comosus"
"11118","Costaceae","Costus spicatus","Costus","spicatus"
"11120","Compositae","Cota tinctoria","Cota","tinctoria"
"11121","Anacardiaceae","Cotinus coggygria","Cotinus","coggygria"
"11140","Rosaceae","Cotoneaster adpressus","Cotoneaster","adpressus"
"11142","Rosaceae","Cotoneaster bacillaris","Cotoneaster","bacillaris"
"11144","Rosaceae","Cotoneaster bullatus","Cotoneaster","bullatus"
"11146","Rosaceae","Cotoneaster buxifolius","Cotoneaster","buxifolius"
"11148","Rosaceae","Cotoneaster coriaceus","Cotoneaster","coriaceus"
"11149","Rosaceae","Cotoneaster dammeri","Cotoneaster","dammeri"
"11152","Rosaceae","Cotoneaster dielsianus","Cotoneaster","dielsianus"
"11153","Rosaceae","Cotoneaster divaricatus","Cotoneaster","divaricatus"
"11155","Rosaceae","Cotoneaster foveolatus","Cotoneaster","foveolatus"
"11157","Rosaceae","Cotoneaster franchetii","Cotoneaster","franchetii"
"11162","Rosaceae","Cotoneaster frigidus","Cotoneaster","frigidus"
"11164","Rosaceae","Cotoneaster glaucophyllus","Cotoneaster","glaucophyllus"
"11167","Rosaceae","Cotoneaster horizontalis","Cotoneaster","horizontalis"
"11171","Rosaceae","Cotoneaster integerrimus","Cotoneaster","integerrimus"
"11176","Rosaceae","Cotoneaster melanocarpus","Cotoneaster","melanocarpus"
"11178","Rosaceae","Cotoneaster microphyllus","Cotoneaster","microphyllus"
"11182","Rosaceae","Cotoneaster moupinensis","Cotoneaster","moupinensis"
"11184","Rosaceae","Cotoneaster multiflorus","Cotoneaster","multiflorus"
"11185","Rosaceae","Cotoneaster pannosus","Cotoneaster","pannosus"
"11190","Rosaceae","Cotoneaster racemiflorus","Cotoneaster","racemiflorus"
"11191","Rosaceae","Cotoneaster rhytidophyllus","Cotoneaster","rhytidophyllus"
"11193","Rosaceae","Cotoneaster rotundifolius","Cotoneaster","rotundifolius"
"11194","Rosaceae","Cotoneaster salicifolius","Cotoneaster","salicifolius"
"11198","Rosaceae","Cotoneaster saxatilis","Cotoneaster","saxatilis"
"11199","Rosaceae","Cotoneaster simonsii","Cotoneaster","simonsii"
"11203","Rosaceae","Cotoneaster submultiflorus","Cotoneaster","submultiflorus"
"11204","Crassulaceae","Tylecodon cacaloides","Tylecodon","cacaloides"
"11205","Crassulaceae","Cotyledon orbiculata","Cotyledon","orbiculata"
"11206","Crassulaceae","Echeveria secunda","Echeveria","secunda"
"11208","Crassulaceae","Adromischus trigynus","Adromischus","trigynus"
"11209","Crassulaceae","Tylecodon wallichii","Tylecodon","wallichii"
"11210","Lecythidaceae","Couroupita guianensis","Couroupita","guianensis"
"11212","Brassicaceae","Crambe hispanica","Crambe","hispanica"
"11217","Lamiaceae","Craniotome furcata","Craniotome","furcata"
"11218","Compositae","Crassocephalum crepidioides","Crassocephalum","crepidioides"
"11219","Compositae","Crassocephalum rubens","Crassocephalum","rubens"
"11221","Crassulaceae","Crassula ruamahanga","Crassula","ruamahanga"
"11222","Crassulaceae","Crassula alba","Crassula","alba"
"11223","Crassulaceae","Crassula arborescens","Crassula","arborescens"
"11226","Crassulaceae","Crassula ovata","Crassula","ovata"
"11227","Crassulaceae","Crassula cotyledonis","Crassula","cotyledonis"
"11228","Crassulaceae","Crassula undulata","Crassula","undulata"
"11229","Crassulaceae","Crassula perfoliata","Crassula","perfoliata"
"11231","Crassulaceae","Crassula muscosa","Crassula","muscosa"
"11232","Crassulaceae","Crassula multicava","Crassula","multicava"
"11239","Crassulaceae","Crassula tetragona","Crassula","tetragona"
"11241","Rosaceae","Crataegus almaatensis","Crataegus","almaatensis"
"11242","Rosaceae","Crataegus wattiana","Crataegus","wattiana"
"11244","Rosaceae","Crataegus ambigua","Crataegus","ambigua"
"11246","Rosaceae","Crataegus azarolus","Crataegus","azarolus"
"11254","Rosaceae","Crataegus monogyna","Crataegus","monogyna"
"11255","Rosaceae","Crataegus calycina","Crataegus","calycina"
"11256","Rosaceae","Crataegus chlorosarca","Crataegus","chlorosarca"
"11258","Rosaceae","Crataegus chrysocarpa","Crataegus","chrysocarpa"
"11259","Rosaceae","Crataegus coccinea","Crataegus","coccinea"
"11262","Rosaceae","Crataegus columbiana","Crataegus","columbiana"
"11263","Rosaceae","Crataegus crus-galli","Crataegus","crus-galli"
"11265","Rosaceae","Crataegus cuneata","Crataegus","cuneata"
"11266","Rosaceae","Crataegus rhipidophylla","Crataegus","rhipidophylla"
"11267","Rosaceae","Crataegus douglasii","Crataegus","douglasii"
"11269","Rosaceae","Crataegus dsungarica","Crataegus","dsungarica"
"11270","Rosaceae","Crataegus florea","Crataegus","florea"
"11271","Rosaceae","Crataegus gracilior","Crataegus","gracilior"
"11274","Rosaceae","Crataegus intricata","Crataegus","intricata"
"11279","Rosaceae","Crataegus laevigata","Crataegus","laevigata"
"11286","Rosaceae","Crataegus microphylla","Crataegus","microphylla"
"11287","Rosaceae","Crataegus macracantha","Crataegus","macracantha"
"11288","Rosaceae","Crataegus marshallii","Crataegus","marshallii"
"11289","Rosaceae","Crataegus meyeri","Crataegus","meyeri"
"11314","Rosaceae","Crataegus nigra","Crataegus","nigra"
"11316","Rosaceae","Crataegus orientalis","Crataegus","orientalis"
"11317","Rosaceae","Crataegus polyacantha","Crataegus","polyacantha"
"11327","Rosaceae","Crataegus pentagyna","Crataegus","pentagyna"
"11328","Rosaceae","Crataegus phaenopyrum","Crataegus","phaenopyrum"
"11331","Rosaceae","Crataegus pinnatifida","Crataegus","pinnatifida"
"11336","Rosaceae","Crataegus laciniata","Crataegus","laciniata"
"11341","Rosaceae","Crataegus rivularis","Crataegus","rivularis"
"11342","Rosaceae","Crataegus sanguinea","Crataegus","sanguinea"
"11343","Rosaceae","Crataegus scabrifolia","Crataegus","scabrifolia"
"11344","Rosaceae","Crataegus songarica","Crataegus","songarica"
"11345","Rosaceae","Crataegus tianschanica","Crataegus","tianschanica"
"11346","Rosaceae","Crataegus calpodendron","Crataegus","calpodendron"
"11347","Rosaceae","Crataegus pseudoheterophylla","Crataegus","pseudoheterophylla"
"11348","Rosaceae","Crataegus viridis","Crataegus","viridis"
"11349","Capparaceae","Crateva nurvala","Crateva","nurvala"
"11350","Capparaceae","Crateva religiosa","Crateva","religiosa"
"11351","Capparaceae","Crateva tapia","Crateva","tapia"
"11352","Compositae","Crepis biennis","Crepis","biennis"
"11353","Compositae","Crepis bulbosa","Crepis","bulbosa"
"11354","Compositae","Crepis capillaris","Crepis","capillaris"
"11356","Compositae","Crepis foetida","Crepis","foetida"
"11358","Compositae","Youngia japonica","Youngia","japonica"
"11359","Compositae","Crepis leontodontoides","Crepis","leontodontoides"
"11361","Compositae","Crepis marschallii","Crepis","marschallii"
"11362","Compositae","Crepis neglecta","Crepis","neglecta"
"11363","Compositae","Crepis virens","Crepis","virens"
"11364","Compositae","Crepis pulchra","Crepis","pulchra"
"11365","Compositae","Crepis rubra","Crepis","rubra"
"11366","Compositae","Crepis vesicaria","Crepis","vesicaria"
"11367","Bignoniaceae","Crescentia cujete","Crescentia","cujete"
"11372","Convolvulaceae","Cressa cretica","Cressa","cretica"
"11374","Amaryllidaceae","Crinum angustum","Crinum","angustum"
"11375","Amaryllidaceae","Crinum asiaticum","Crinum","asiaticum"
"11383","Amaryllidaceae","Crinum lorifolium","Crinum","lorifolium"
"11384","Iridaceae","Crocosmia crocosmiiflora","Crocosmia","crocosmiiflora"
"11388","Iridaceae","Crocus flavus","Crocus","flavus"
"11389","Iridaceae","Crocus sativus","Crocus","sativus"
"11391","Iridaceae","Crocus kotschyanus","Crocus","kotschyanus"
"11392","Acanthaceae","Crossandra infundibuliformis","Crossandra","infundibuliformis"
"11395","Crossosomataceae","Crossosoma californicum","Crossosoma","californicum"
"11396","Compositae","Crossostephium chinense","Crossostephium","chinense"
"11397","Leguminosae","Crotalaria aculeata","Crotalaria","aculeata"
"11398","Leguminosae","Crotalaria micans","Crotalaria","micans"
"11402","Leguminosae","Crotalaria anthyllopsis","Crotalaria","anthyllopsis"
"11403","Leguminosae","Crotalaria impressa","Crotalaria","impressa"
"11404","Leguminosae","Crotalaria bequaertii","Crotalaria","bequaertii"
"11405","Leguminosae","Crotalaria berteroana","Crotalaria","berteroana"
"11406","Leguminosae","Crotalaria bongensis","Crotalaria","bongensis"
"11407","Leguminosae","Crotalaria burkeana","Crotalaria","burkeana"
"11408","Leguminosae","Crotalaria clarkei","Crotalaria","clarkei"
"11409","Leguminosae","Crotalaria cunninghamii","Crotalaria","cunninghamii"
"11410","Leguminosae","Crotalaria goreensis","Crotalaria","goreensis"
"11411","Leguminosae","Crotalaria grahamiana","Crotalaria","grahamiana"
"11412","Leguminosae","Crotalaria hirsuta","Crotalaria","hirsuta"
"11413","Leguminosae","Crotalaria anisophylla","Crotalaria","anisophylla"
"11414","Leguminosae","Crotalaria hyssopifolia","Crotalaria","hyssopifolia"
"11415","Leguminosae","Crotalaria incana","Crotalaria","incana"
"11416","Leguminosae","Crotalaria brevidens","Crotalaria","brevidens"
"11422","Leguminosae","Crotalaria juncea","Crotalaria","juncea"
"11449","Leguminosae","Crotalaria lachnophora","Crotalaria","lachnophora"
"11450","Leguminosae","Crotalaria lanceolata","Crotalaria","lanceolata"
"11455","Leguminosae","Crotalaria pallida","Crotalaria","pallida"
"11457","Leguminosae","Crotalaria lebrunii","Crotalaria","lebrunii"
"11458","Leguminosae","Crotalaria longithyrsa","Crotalaria","longithyrsa"
"11460","Leguminosae","Crotalaria medicaginea","Crotalaria","medicaginea"
"11471","Leguminosae","Crotalaria ochroleuca","Crotalaria","ochroleuca"
"11480","Leguminosae","Crotalaria paulina","Crotalaria","paulina"
"11482","Leguminosae","Crotalaria pseudospartium","Crotalaria","pseudospartium"
"11484","Leguminosae","Crotalaria retusa","Crotalaria","retusa"
"11487","Leguminosae","Crotalaria saltiana","Crotalaria","saltiana"
